unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_type_ppr,rank_type_ppr,accumulated_fraction_type
EEZ_858,Uruguay,EEZ,2019,107838.9938680954,107838.9938680954,0.0,1.0,60,60,66273884.30512683,66273884.30512683,66273884.30512684,58304573.990053095,61954568.46990002,0.0009974671013253875,102,0.9642910075019295
EEZ_914,Sweden (Baltic),EEZ,2019,258009.42244459942,258009.42244459942,0.0,1.0,63,63,65614786.95071074,65614786.95071076,65614786.950710736,58930501.54015318,62120902.913858816,0.0009875472371964973,103,0.965278554739126
EEZ_947,Morocco (Mediterranean),EEZ,2019,66046.14815490438,66046.14815490438,0.0,1.0,110,110,64564291.36796549,64564291.36796549,64564291.36796549,56427166.47699314,53151066.53940716,0.0009717365631298955,104,0.9662502913022559
EEZ_268,Georgia,EEZ,2019,350092.2854428537,350092.2854428537,0.0,1.0,29,29,62582880.30789505,62582880.30789504,62582880.30789506,56232930.953583054,61867120.80999226,0.0009419149770353917,105,0.9671922062792914
EEZ_300,Greece (without Crete),EEZ,2019,108516.7645129038,108516.7645129038,0.0,1.0,155,155,60672881.10444955,60672881.10444954,60672881.10444955,45202170.90468926,51972308.116400525,0.0009131681880253622,106,0.9681053744673167
EEZ_973,"Korea (North, Yellow Sea)",EEZ,2019,89045.48046535479,89045.48046535479,0.0,1.0,58,58,58964164.09103803,58964164.09103805,58964164.09103804,34035460.416067936,52997138.40968333,0.0008874508330789417,107,0.9689928253003957
EEZ_270,Gambia,EEZ,2019,168306.30279973362,168306.30279973362,0.0,1.0,238,238,52717675.19812376,52717675.19812377,52717675.198123775,36169282.05065127,40799827.85035961,0.0007934369204374213,108,0.9697862622208331
EEZ_740,Suriname,EEZ,2019,58397.2558737715,58397.2558737715,0.0,1.0,80,80,50180471.08869745,50180471.08869745,50180471.08869745,38776814.36208194,41306279.01996325,0.0007552502703710307,109,0.9705415124912041
EEZ_684,Saudi Arabia (Persian Gulf),EEZ,2019,52003.642323932094,52003.642323932094,0.0,1.0,101,101,49497257.93937051,49497257.9393705,49497257.93937052,27757809.108077534,36273332.4841109,0.0007449674471022306,110,0.9712864799383063
EEZ_616,Poland,EEZ,2019,155232.70535576172,155232.70535576172,0.0,1.0,56,56,48709783.74274053,48709783.74274053,48709783.74274052,44737293.36258347,44613820.51525869,0.0007331154240539862,111,0.9720195953623603
EEZ_258,French Polynesia,EEZ,2019,30503.7776851117,30503.7776851117,0.0,1.0,63,63,47721884.851591855,47721884.851591855,47721884.851591855,43868719.699264675,45438783.845118515,0.0007182468728337221,112,0.972737842235194
EEZ_842,Hawaii Main Islands (USA),EEZ,2019,22486.1865752072,22486.1865752072,0.0,1.0,140,140,47556032.822993144,47556032.822993144,47556032.82299315,43053065.938609466,45887678.36081641,0.0007157506868330098,113,0.973453592922027
EEZ_968,United Arab Emirates (Fujairah),EEZ,2019,34815.7976770108,34815.7976770108,0.0,1.0,51,51,46252931.13406608,46252931.134066075,46252931.134066075,35581724.06247574,38845754.05190053,0.0006961381188054294,114,0.9741497310408325
EEZ_174,Comoros Isl.,EEZ,2019,20265.440293107604,20265.440293107604,0.0,1.0,42,42,42645896.13210497,42645896.13210498,42645896.13210498,41548418.877320364,41639538.32029089,0.0006418497850898358,115,0.9747915808259223
EEZ_932,Denmark (North Sea),EEZ,2019,136822.7965781429,136822.7965781429,0.0,1.0,191,191,41397655.05769295,41397655.057692945,41397655.05769295,34702699.34048979,36930926.23826311,0.000623062906679078,116,0.9754146437326013
EEZ_683,Saudi Arabia (Red Sea),EEZ,2019,39296.800791863905,39296.800791863905,0.0,1.0,122,122,38075252.287188336,38075252.287188336,38075252.287188336,22624139.603720143,30442217.503559966,0.0005730584819244796,117,0.9759877022145259
