taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix,SPPR_1995_TEmean_catch,Ulanowicz_globalTEmean_catch
Penaeus chinensis,Shrimps,1.000000,single,high,1236075.23,63.434269,20.606299,34.975139,80.509664,20.320611,20.320611,19.304581,20.277168,20.277168,20.277168,8.595684,5.924649,20.277168,20.277168,8.595684,8.595684,5.924649,5.924649,8.765007,20.714839,9.123443,12.775807
Selaroides leptolepis,Pelagic fish (≤ 30 cm),1.000000,single,medium,1185036.56,63.434269,60.479203,123.916392,184.333489,82.963782,82.963782,61.393198,82.861621,82.861621,82.861621,19.548829,12.624641,82.861621,82.861621,19.548829,19.548829,12.624641,12.624641,19.621964,85.282461,20.037581,23.973469
Mugilidae,Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.899915 | 0.100085,model_catch,medium,1175466.212,63.434269,122.316169,286.728044,2340.575757,204.767879,206.522246,149.869278,252.256118,252.256118,252.256118,40.505014,22.148998,252.256118,252.256118,40.505014,40.505014,22.148998,22.148998,41.258511,269.055759,33.188270,55.556032
Ilisha elongata,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1163810.882,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
Sardinops sagax,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1101836.203,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
Sardinella lemuru,Pelagic fish (≤ 30 cm),1.000000,single,medium,1092321.186,63.434269,60.479203,123.916392,184.333489,82.963782,82.963782,61.393198,82.861621,82.861621,82.861621,19.548829,12.624641,82.861621,82.861621,19.548829,19.548829,12.624641,12.624641,19.621964,85.282461,20.037581,23.973469
Coryphaena hippurus,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1078982.717,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
Cololabis saira,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1035519.84,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
Netuma thalassina,Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.899915 | 0.100085,model_catch,medium,1021214.891,63.434269,122.316169,286.728044,2340.575757,204.767879,206.522246,149.869278,252.256118,252.256118,252.256118,40.505014,22.148998,252.256118,252.256118,40.505014,40.505014,22.148998,22.148998,41.258511,269.055759,33.188270,55.556032
Priacanthus macracanthus,Bigeyes (priacanthids),1.000000,single,high,991701.462,63.434269,283.326243,760.468749,9080.748734,410.471028,421.548741,231.851807,559.388147,559.388147,559.388147,68.757015,31.580155,559.388147,559.388147,68.757015,68.757015,31.580155,31.580155,70.665687,610.054014,61.932896,133.670161
Nemipterus virgatus,Threadfin bream (nemipterids),1.000000,single,high,970413.986,63.434269,158.440780,384.171088,2655.762507,197.386659,204.295758,173.038507,255.525547,255.525547,255.525547,52.390697,26.389157,255.525547,255.525547,52.390697,52.390697,26.389157,26.389157,54.745187,271.312978,40.501823,68.999873
Parastromateus niger,Benthopelagic fish,1.000000,single,low,961636.33,63.434269,57.638856,117.107635,512.579983,196.052075,216.299620,103.607518,258.058840,258.058840,258.058840,30.797768,18.057770,258.058840,258.058840,30.797768,30.797768,18.057770,18.057770,31.541928,269.911942,19.345508,32.639814
Mugil cephalus,Benthopelagic fish,1.000000,single,low,949666.595,63.434269,57.638856,117.107635,512.579983,196.052075,216.299620,103.607518,258.058840,258.058840,258.058840,30.797768,18.057770,258.058840,258.058840,30.797768,30.797768,18.057770,18.057770,31.541928,269.911942,19.345508,32.639814
Cephalopoda,Cephalopods,1.000000,single,high,945101.13,63.434269,165.179677,403.438538,1806.275122,290.545782,293.904290,115.504386,531.624857,531.624857,531.624857,31.248602,16.100034,531.624857,531.624857,31.248602,31.248602,16.100034,16.100034,32.328440,587.981629,41.753504,65.561648
Leiognathus,Benthopelagic fish,1.000000,single,low,891413.643,63.434269,57.638856,117.107635,512.579983,196.052075,216.299620,103.607518,258.058840,258.058840,258.058840,30.797768,18.057770,258.058840,258.058840,30.797768,30.797768,18.057770,18.057770,31.541928,269.911942,19.345508,32.639814
Octopodidae,Cephalopods,1.000000,single,high,841025.851,63.434269,165.179677,403.438538,1806.275122,290.545782,293.904290,115.504386,531.624857,531.624857,531.624857,31.248602,16.100034,531.624857,531.624857,31.248602,31.248602,16.100034,16.100034,32.328440,587.981629,41.753504,65.561648
Dasyatis,Demersal sharks and rays,1.000000,single,medium,824451.936,63.434269,308.191832,839.467528,16975.303945,491.286117,501.446660,434.754254,701.695589,701.695589,701.695589,112.939058,50.000680,701.695589,701.695589,112.939058,112.939058,50.000680,50.000680,116.377132,773.589869,65.859366,160.380323
