eez_unit_id,eez_name,lme_unit_id,lme_name,eez_area_km2,lme_area_km2,intersection_km2,intersection_fraction_of_eez,intersection_fraction_of_lme,eez_to_lme_area_ratio,lme_mostly_contained,flag_prefer_eez_candidate,flag_review_110_120
EEZ_414,Kuwait,LME_032,Arabian Sea,11029.174020879194,3931902.1047515674,10923.506592344374,0.990419279962871,0.002778173591642502,0.002805047970942822,False,False,False
EEZ_422,Lebanon,LME_026,Mediterranean Sea,20200.358913025284,2527801.206996367,20125.564119722043,0.9962973532487577,0.007961687835269305,0.007991276710017932,False,False,False
EEZ_428,Latvia,LME_023,Baltic Sea,28134.782934099727,396444.90371621336,27959.88087194695,0.9937834223721416,0.070526523635076,0.07096769985026573,False,False,False
EEZ_430,Liberia,LME_028,Guinea Current,250086.1462022722,1918690.5432233866,247429.50519639315,0.9893770964676694,0.1289574840874096,0.13034209559511833,False,False,False
EEZ_434,Libya,LME_026,Mediterranean Sea,363821.3807070278,2527801.206996367,363037.35066975525,0.9978450138478697,0.14361784054258386,0.14392800339680775,False,False,False
EEZ_440,Lithuania,LME_023,Baltic Sea,7008.331721446631,396444.90371621336,6938.703792082944,0.9900649780673747,0.017502315522385598,0.0176779463066661,False,False,False
EEZ_450,Madagascar,LME_030,Agulhas Current,1238493.7218613813,2626846.36963807,870483.8367576683,0.7028568828345643,0.3313798046277082,0.4714755062101414,False,False,False
EEZ_459,Malaysia (Peninsula West),LME_034,Bay of Bengal,68574.12771320854,3664559.241537097,67891.02636166943,0.9900384973995443,0.018526382543400385,0.018712790050146703,False,False,False
EEZ_459,Malaysia (Peninsula West),LME_036,South China Sea,68574.12771320854,3164824.0447257855,118.57441630949972,0.0017291421745151893,3.746635346350623e-05,0.021667595652746664,False,False,False
EEZ_460,Malaysia (Peninsula East),LME_035,Gulf of Thailand,132226.57561793693,387309.2560812747,87305.50184460562,0.6602719720797365,0.22541547993958874,0.3413979230854992,False,False,False
