unit_id,legacy_headline_median_tC_yr,legacy_scaled_median_tC_yr,annual_median_tC_yr,antoinemorel_relative_difference_vs_scaled,vgpm_relative_difference_vs_scaled,eppley_relative_difference_vs_scaled,cbpm_relative_difference_vs_scaled,cafe_relative_difference_vs_scaled,median_relative_difference_vs_scaled,median_percent_change_vs_legacy_headline,note
LME_047,228889348.0035157,263199876.26123306,263199876.26123303,0.0,3.882916404950635e-16,0.0,-1.1323076139335146e-16,0.0,-1.1323076139335146e-16,14.99000654988556,
LME_048,234566982.65061775,265849790.31962246,265849790.3196226,6.957091448306526e-16,4.2683084196882285e-16,5.605105490560094e-16,4.1804034329723784e-16,1.583627891259361e-16,5.605105490560094e-16,13.336407074647806,
LME_049,199352827.63262123,219999461.22834828,219999461.2283482,-1.469170672530301e-16,-2.5608339450505845e-16,-4.0639630053587285e-16,-3.47253344655824e-16,-5.653675313991303e-16,-4.0639630053587285e-16,10.356830069035073,
LME_050,196140139.6449509,213477826.11363152,213477826.1136315,-1.396038311343489e-16,-6.579660705980387e-16,-7.382138991278265e-16,0.0,-3.6887283301813706e-16,-1.396038311343489e-16,8.839438220073115,
LME_051,110840262.49031614,115154452.86489508,115154452.86489515,6.47007598192075e-16,6.477383178975287e-16,4.598058332766391e-16,1.1039784807973188e-15,1.6385763384833107e-15,6.47007598192075e-16,3.8922592545790335,
LME_052,259622766.89018947,295938134.05065185,295938134.0506517,-4.028182779931219e-16,8.365012500820105e-16,4.586523860371368e-16,-1.2197978881181952e-15,0.0,-4.028182779931219e-16,13.98774367728015,
LME_053,110866844.04976276,120103602.55716915,120103602.55716923,6.203461376920282e-16,3.908387902203047e-16,-1.3806883151905633e-16,-7.907767372726682e-16,-1.2487381159995346e-16,6.203461376920282e-16,8.331398432574243,
LME_054,134922936.3308678,175117540.7427445,175117540.74274442,-1.9893381387558615e-16,-2.35561020917693e-16,-4.699718963587727e-16,-5.105540357857627e-16,-8.754405667034909e-16,-5.105540357857627e-16,29.79078687800605,
LME_055,36530155.28799374,59337006.057569526,59337006.057569586,9.521652246361611e-16,7.764142557702685e-16,1.0045104857087234e-15,1.3322782630884091e-15,4.444780147511371e-16,1.0045104857087234e-15,62.43294229047998,
LME_056,34525274.4793456,60637874.85053245,60637874.85053248,1.763678212070804e-16,1.7609568215057762e-16,0.0,4.914803241564067e-16,6.51737770949173e-16,4.914803241564067e-16,75.63328826482896,
LME_057,62318771.33191579,94318919.52426216,94318919.52426215,-1.579869793781358e-16,-6.823000629880747e-16,-1.743108967620153e-16,5.462228106477522e-16,-1.659914886398291e-16,-1.579869793781358e-16,51.349132064736125,
LME_058,58292164.75734453,98294714.43737662,98294714.43737666,4.547903093001351e-16,3.8904730569165685e-16,5.090652123915027e-16,1.6041335956437843e-15,1.0453059382305378e-15,4.547903093001351e-16,68.62423079765966,
LME_059,58408676.72072891,63622503.822636865,63622503.82263684,2.6177918239738195e-16,4.844891073391382e-16,-2.3089760518550843e-16,-3.5131817278179397e-16,0.0,-3.5131817278179397e-16,8.926459893684902,
LME_060,14416671.866690412,14707410.098982424,14707410.098982416,-7.625880553167263e-16,-3.5951829744071097e-16,-4.0791045000360763e-16,-4.566583648189726e-16,-5.065868529387998e-16,-5.065868529387998e-16,2.0166806526529246,
LME_061,47870053.43602861,102610079.59474836,102610079.59474824,-1.1617697795537276e-15,-2.0276426300344782e-15,-1.5622936057824726e-15,-1.7862834209217493e-15,-1.8784914642092395e-15,-1.1617697795537276e-15,114.3512952870875,
LME_062,0.0,,62028266.27641208,,,,,,,,Legacy zero/missing common-mask result; ZIP own-coverage fallback supplies available models.
LME_063,91421966.1871347,142079027.57303682,142079027.57303682,0.0,1.440026024280958e-15,8.701898597029284e-16,-5.547524906035496e-16,1.041992066242606e-15,0.0,55.41016398860912,
LME_065,31725542.01902209,33322010.934752904,33322010.934752874,6.477762609041794e-16,-8.943734652164476e-16,8.390913587935806e-16,8.144868204913683e-16,1.2018906605042194e-15,-8.943734652164476e-16,5.032124950847394,
LME_066,2315144.597182685,9215074.938394144,9215074.938394146,1.7797583960268502e-16,0.0,1.9716364430423096e-16,2.0213022267136864e-16,0.0,2.0213022267136864e-16,298.0345309579381,
