taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Dussumieria elopsoides,Planktivores,1.000000,single,medium,10192.962,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Chirocentrus dorab,Piscivores,1.000000,single,medium,10071.892,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Oratosquilla oratoria,Shrimps,1.000000,single,medium,7655.831,0.000000,20.606299,1.542427,1.561295,15.075177,15.075177,15.060102,13.927162,13.927162,14.183251,7.969433,5.681336,14.183251,13.927162,7.969433,7.969433,5.681336,5.681336,8.136905,14.885026
Saurida,Piscivores,1.000000,single,high,7506.669,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Stolephorus,Planktivores,1.000000,single,high,6796.825,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Sphyraena,Piscivores,1.000000,single,high,4858.532,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Rapana,Mollusks,1.000000,single,medium,4839.315,0.000000,14.497407,1.466668,1.466497,17.850747,17.850747,5.355224,17.186608,17.186608,17.598965,3.995111,2.967513,17.598965,17.186608,3.995111,3.995111,2.967513,2.967513,3.990277,17.941416
Sphyraenidae,Piscivores,1.000000,single,high,4739.088,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Pseudopleuronectes herzensteini,Benthivores,1.000000,single,medium,4449.596,0.000000,67.814783,1.829368,1.840330,33.988491,35.780255,35.601354,385.228839,385.228839,391.588003,16.669630,9.973880,391.588003,385.228839,16.669630,16.669630,9.973880,9.973880,17.246706,42.474741
Hemitriakis japanica,Sharks,1.000000,single,high,4446.223,0.000000,1154.744061,2.745621,2.742397,0.000000,152.583853,0.000000,0.000000,0.000000,0.000000,205.199674,93.831501,0.000000,0.000000,205.199674,205.199674,93.831501,93.831501,205.695409,0.000000
Makaira mazara,Piscivores,1.000000,single,low,4319.18,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Marine pelagic fishes not identified,Piscivores | Planktivores/Benthivores | Planktivores/piscivores,0.342221 | 0.456933 | 0.200846,catch_composition,medium,3605.253,0.000000,170.399430,2.048079,2.058130,254.619538,261.783496,163.184672,283.604609,283.604609,287.343694,48.773663,28.476258,287.343694,283.604609,48.773663,48.773663,28.476258,28.476258,49.994088,287.141976
Mierspenaeopsis hardwickii,Shrimps,1.000000,single,high,3465.975,0.000000,20.606299,1.542427,1.561295,15.075177,15.075177,15.060102,13.927162,13.927162,14.183251,7.969433,5.681336,14.183251,13.927162,7.969433,7.969433,5.681336,5.681336,8.136905,14.885026
Beryx,Piscivores,1.000000,single,medium,2997.976,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Auxis thazard,Piscivores,1.000000,single,high,2330.078,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Polydactylus sexfilis,Benthivores,1.000000,single,high,2144.493,0.000000,67.814783,1.829368,1.840330,33.988491,35.780255,35.601354,385.228839,385.228839,391.588003,16.669630,9.973880,391.588003,385.228839,16.669630,16.669630,9.973880,9.973880,17.246706,42.474741
